Gene symbol	Gene name	Accession DB	Accession ID
CDC42L3	cell division cycle 42 homolog (S. cerevisiae)-like 3		110860
CDC42SE1	CDC42 small effector 1		56882
CDC42SE2	CDC42 small effector 2		56990
CDC45	cell division cycle 45		8318
CDC5L	cell division cycle 5 like		988
CDC6	cell division cycle 6		990
CDC7	cell division cycle 7		8317
CDC73	cell division cycle 73		79577
CDCA2	cell division cycle associated 2		157313
CDCA3	cell division cycle associated 3		83461
CDCA4	cell division cycle associated 4		55038
CDCA5	cell division cycle associated 5		113130
CDCA7	cell division cycle associated 7		83879
CDCA7L	cell division cycle associated 7 like		55536
CDCA8	cell division cycle associated 8		55143
CDCP1	CUB domain containing protein 1		64866
CDCP2	CUB domain containing protein 2		200008
CDCP3	CUB domain containing protein 3		71395
CDCS1	cytokine deficiency colitis susceptibility 1		170800
CDCS10	cytokine deficiency colitis susceptibility 10		492839
CDCS2	cytokine deficiency colitis susceptibility 2		170803
CDCS3	cytokine deficiency colitis susceptibility 3		170804
CDCS4	cytokine deficiency colitis susceptibility 4		170805
CDCS5	cytokine deficiency colitis susceptibility 5		170806
CDCS6	cytokine deficiency colitis susceptibility 6		170807
CDCS7	cytokine deficiency colitis susceptibility 7		492840
CDCS8	cytokine deficiency colitis susceptibility 8		100036197
CDCS9	cytokine deficiency colitis susceptibility 9		100034764
CDH1	cadherin 1		999
CDH10	cadherin 10		1008
CDH11	cadherin 11		1009
CDH12	cadherin 12		1010
CDH13	cadherin 13		1012
CDH15	cadherin 15		1013
CDH16	cadherin 16		1014
CDH17	cadherin 17		1015
CDH18	cadherin 18		1016
CDH19	cadherin 19		28513
CDH2	cadherin 2		1000
CDH20	cadherin 20		28316
CDH22	cadherin 22		64405
CDH23	cadherin related 23		64072
CDH24	cadherin 24		64403
CDH26	cadherin 26		60437
CDH3	cadherin 3		1001
CDH4	cadherin 4		1002
CDH5	cadherin 5		1003
CDH6	cadherin 6		1004
CDH7	cadherin 7		1005
CDH8	cadherin 8		1006
CDH9	cadherin 9		1007
CDHR1	cadherin related family member 1		92211
CDHR2	cadherin related family member 2		54825
CDHR3	cadherin related family member 3		222256
CDHR4	cadherin related family member 4		389118
CDHR5	cadherin related family member 5		53841
CDIF	color difference		114620
CDIP1	cell death inducing p53 target 1		29965
CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase		10423
CDIPTOS	"CDIP transferase, opposite strand"		381922
CDK1	cyclin dependent kinase 1		983
CDK10	cyclin dependent kinase 10		8558
CDK11B	cyclin dependent kinase 11B		984
CDK12	cyclin dependent kinase 12		51755
CDK13	cyclin dependent kinase 13		8621
CDK14	cyclin dependent kinase 14		5218
CDK15	cyclin dependent kinase 15		65061
CDK16	cyclin dependent kinase 16		5127
CDK17	cyclin dependent kinase 17		5128
CDK18	cyclin dependent kinase 18		5129
CDK19	cyclin dependent kinase 19		23097
CDK19OS	"cyclin-dependent kinase 19, opposite strand"		67587
CDK2	cyclin dependent kinase 2		1017
CDK20	cyclin dependent kinase 20		23552
CDK2AP1	cyclin dependent kinase 2 associated protein 1		8099
CDK2AP2	cyclin dependent kinase 2 associated protein 2		10263
CDK3	cyclin dependent kinase 3		1018
CDK4	cyclin dependent kinase 4		1019
CDK5	cyclin dependent kinase 5		1020
CDK5R1	cyclin dependent kinase 5 regulatory subunit 1		8851
CDK5R2	cyclin dependent kinase 5 regulatory subunit 2		8941
CDK5RAP1	CDK5 regulatory subunit associated protein 1		51654
CDK5RAP2	CDK5 regulatory subunit associated protein 2		55755
CDK5RAP3	CDK5 regulatory subunit associated protein 3		80279
CDK6	cyclin dependent kinase 6		1021
CDK7	cyclin dependent kinase 7		1022
CDK8	cyclin dependent kinase 8		1024
CDK9	cyclin dependent kinase 9		1025
CDKAL1	CDK5 regulatory subunit associated protein 1 like 1		54901
CDKL1	cyclin dependent kinase like 1		8814
CDKL2	cyclin dependent kinase like 2		8999
CDKL3	cyclin dependent kinase like 3		51265
CDKL4	cyclin dependent kinase like 4		344387
CDKL5	cyclin dependent kinase like 5		6792
CDKN1A	cyclin dependent kinase inhibitor 1A		1026
CDKN1B	cyclin dependent kinase inhibitor 1B		1027
CDKN1C	cyclin dependent kinase inhibitor 1C		1028
CDKN2A	cyclin dependent kinase inhibitor 2A		1029
CDKN2AIP	CDKN2A interacting protein		55602
CDKN2AIPNL	CDKN2A interacting protein N-terminal like		91368
CDKN2B	cyclin dependent kinase inhibitor 2B		1030
CDKN2C	cyclin dependent kinase inhibitor 2C		1031
CDKN2D	cyclin dependent kinase inhibitor 2D		1032
CDKN3	cyclin dependent kinase inhibitor 3		1033
CDM	cadmium resistance		12582
CDNF	cerebral dopamine neurotrophic factor		441549
CDO1	cysteine dioxygenase type 1		1036
CDON	"cell adhesion associated, oncogene regulated"		50937
CDPF1	cysteine rich DPF motif domain containing 1		150383
CDR1	cerebellar degeneration related protein 1		1038
CDR1OS	"cerebellar degeneration related antigen 1, opposite strand"		331424
CDR2	cerebellar degeneration related protein 2		1039
CDR2L	cerebellar degeneration related protein 2 like		30850
CDR3	Cerebellar degeneration-related autoantigen-3		8163
CDRT4	CMT1A duplicated region transcript 4		284040
CDRT4OS1	"CMT1A duplicated region transcript 4, opposite strand 1"		74884
CDRT4OS2	"CMT1A duplicated region transcript 4, opposite strand 2"		102640778
CDS1	CDP-diacylglycerol synthase 1		1040
CDS2	CDP-diacylglycerol synthase 2		8760
CDSN	corneodesmosin		1041
CDT1	chromatin licensing and DNA replication factor 1		81620
CDV3	CDV3 homolog		55573
CDV3-PS	Cdv3 retrotransposed pseudogene		102639170
CDX1	caudal type homeobox 1		1044
CDX2	caudal type homeobox 2		1045
CDX4	caudal type homeobox 4		1046
CDYL	chromodomain Y like		9425
CDYL2	chromodomain Y like 2		124359
CE1	"catalase activity, liver"		104193
CE2	"catalase activity, kidney"		109983
CE9	immunoglobulin light chain variable region		56304
CEA	carcinoembryonic antigen gene family		111518
CEACAM1	CEA cell adhesion molecule 1		634
CEACAM10	carcinoembryonic antigen-related cell adhesion molecule 10		26366
CEACAM11	carcinoembryonic antigen-related cell adhesion molecule 11		66996
CEACAM12	carcinoembryonic antigen-related cell adhesion molecule 12		67315
CEACAM13	carcinoembryonic antigen-related cell adhesion molecule 13		69785
CEACAM14	carcinoembryonic antigen-related cell adhesion molecule 14		67084
CEACAM15	carcinoembryonic antigen-related cell adhesion molecule 15		101434
CEACAM16	"CEA cell adhesion molecule 16, tectorial membrane component"		388551
CEACAM18	CEA cell adhesion molecule 18		729767
CEACAM19	CEA cell adhesion molecule 19		56971
CEACAM2	carcinoembryonic antigen-related cell adhesion molecule 2		26367
CEACAM20	CEA cell adhesion molecule 20		125931
CEACAM3	CEA cell adhesion molecule 3		1084
CEACAM5	CEA cell adhesion molecule 5		1048
CEACAM9	carcinoembryonic antigen-related cell adhesion molecule 9		26368
CEACAM-PS1	carcinoembryonic antigen-related cell adhesion molecule pseudogene 1		100038912
CEAT1	chronic experimental autoimmune thyroiditis 1		100036280
CEBPA	CCAAT enhancer binding protein alpha		1050
CEBPB	CCAAT enhancer binding protein beta		1051
CEBPD	CCAAT enhancer binding protein delta		1052
CEBPE	CCAAT enhancer binding protein epsilon		1053
CEBPG	CCAAT enhancer binding protein gamma		1054
CEBPZ	CCAAT enhancer binding protein zeta		10153
CEBPZOS	CEBPZ opposite strand		100505876
CECR2	CECR2 histone acetyl-lysine reader		27443
CEL	carboxyl ester lipase		1056
CELA1	chymotrypsin like elastase 1		1990
CELA2A	chymotrypsin like elastase 2A		63036
CELA3A	chymotrypsin like elastase 3A		10136
CELA3B	chymotrypsin like elastase 3B		23436
CELF1	CUGBP Elav-like family member 1		10658
CELF2	CUGBP Elav-like family member 2		10659
CELF3	CUGBP Elav-like family member 3		11189
CELF4	CUGBP Elav-like family member 4		56853
CELF5	CUGBP Elav-like family member 5		60680
CELF6	CUGBP Elav-like family member 6		60677
CELRR	cerebellum expressed regulatory RNA		98452
CELSR1	cadherin EGF LAG seven-pass G-type receptor 1		9620
CELSR2	cadherin EGF LAG seven-pass G-type receptor 2		1952
CELSR3	cadherin EGF LAG seven-pass G-type receptor 3		1951
CEMIP	cell migration inducing hyaluronidase 1		57214
CEMIP2	cell migration inducing hyaluronidase 2		23670
CEND1	cell cycle exit and neuronal differentiation 1		51286
CENPA	centromere protein A		1058
CENPB	centromere protein B		1059
CENPC	centromere protein C		1060
CENPC1	centromere protein C1		12617
CENPC-PS1	"centromere autoantigen C, pseudogene 1"		108193
CENPE	centromere protein E		1062
CENPF	centromere protein F		1063
CENPH	centromere protein H		64946
CENPI	centromere protein I		2491
CENPJ	centromere protein J		55835
CENPK	centromere protein K		64105
CENPL	centromere protein L		91687
CENPM	centromere protein M		79019
CENPN	centromere protein N		55839
CENPO	centromere protein O		79172
CENPP	centromere protein P		401541
CENPQ	centromere protein Q		55166
CENPS	centromere protein S		378708
CENPT	centromere protein T		80152
CENPU	centromere protein U		79682
CENPV	centromere protein V		201161
CENPW	centromere protein W		387103
CENPX	centromere protein X		201254
CENTD2	"centaurin, delta 2"		100169677
CEP104	centrosomal protein 104		9731
CEP112	centrosomal protein 112		201134
CEP112IT	"centrosomal protein 112, intronic transcript"		629945
CEP112OS1	"centrosomal protein 112, opposite strand 1"		108167933
CEP120	centrosomal protein 120		153241
CEP126	centrosomal protein 126		57562
CEP128	centrosomal protein 128		145508
CEP131	centrosomal protein 131		22994
CEP135	centrosomal protein 135		9662
CEP152	centrosomal protein 152		22995
CEP162	centrosomal protein 162		22832
CEP164	centrosomal protein 164		22897
CEP170	centrosomal protein 170		9859
CEP170B	centrosomal protein 170B		283638
CEP19	centrosomal protein 19		84984
CEP192	centrosomal protein 192		55125
CEP20	centrosomal protein 20		123811
CEP250	centrosomal protein 250		11190
CEP290	centrosomal protein 290		80184
CEP295	centrosomal protein 295		85459
CEP295NL	CEP295 N-terminal like		100653515
CEP350	centrosomal protein 350		9857
CEP41	centrosomal protein 41		95681
CEP43	centrosomal protein 43		11116
CEP44	centrosomal protein 44		80817
CEP55	centrosomal protein 55		55165
CEP57	centrosomal protein 57		9702
CEP57L1	centrosomal protein 57 like 1		285753
CEP63	centrosomal protein 63		80254
CEP68	centrosomal protein 68		23177
CEP70	centrosomal protein 70		80321
CEP72	centrosomal protein 72		55722
CEP76	centrosomal protein 76		79959
CEP78	centrosomal protein 78		84131
CEP83	centrosomal protein 83		51134
CEP83OS	"centrosomal protein 83, opposite strand"		67723
CEP85	centrosomal protein 85		64793
CEP85L	centrosomal protein 85 like		387119
CEP89	centrosomal protein 89		84902
CEP95	centrosomal protein 95		90799
CEP97	centrosomal protein 97		79598
CEPT1	choline/ethanolamine phosphotransferase 1		10390
CER1	"cerberus 1, DAN family BMP antagonist"		9350
CERCAM	cerebral endothelial cell adhesion molecule		51148
CERK	ceramide kinase		64781
CERKL	ceramide kinase like		375298
CEROX1	cytoplasmic endogenous regulator of oxidative phosphorylation 1		115804232
CERS1	ceramide synthase 1		10715
CERS2	ceramide synthase 2		29956
CERS3	ceramide synthase 3		204219
CERS4	ceramide synthase 4		79603
CERS5	ceramide synthase 5		91012
CERS6	ceramide synthase 6		253782
CERT1	ceramide transporter 1		10087
CES1	carboxylesterase 1		1066
CES1A	carboxylesterase 1A		244595
CES1B	carboxylesterase 1B		382044
CES1C	carboxylesterase 1C		13884
CES1D	carboxylesterase 1D		104158
CES1E	carboxylesterase 1E		13897
CES1F	carboxylesterase 1F		234564
CES1G	carboxylesterase 1G		12623
CES1H	carboxylesterase 1H		75704
CES2	carboxylesterase 2		8824
CES2A	carboxylesterase 2A		102022
CES2B	carboxyesterase 2B		234669
CES2C	carboxylesterase 2C		234671
CES2D-PS	"carboxylesterase 2D, pseudogene"		667754
CES2E	carboxylesterase 2E		234673
CES2F	carboxylesterase 2F		71903
CES2G	carboxylesterase 2G		72361
CES2H	carboxylesterase 2H		436059
CES3	carboxylesterase 3		23491
CES3A	carboxylesterase 3A		382053
CES3B	carboxylesterase 3B		13909
CES4A	carboxylesterase 4A		283848
CES5A	carboxylesterase 5A		221223
CET1	cerebellum expressed transcript 1		12624
CETN1	centrin 1		1068
CETN2	centrin 2		1069
CETN3	centrin 3		1070
CETN4	centrin 4		207175
CETP	cholesteryl ester transfer protein		1071
CFAP100	cilia and flagella associated protein 100		348807
CFAP126	cilia and flagella associated protein 126		257177
CFAP157	cilia and flagella associated protein 157		286207
CFAP161	cilia and flagella associated protein 161		161502
CFAP20	cilia and flagella associated protein 20		29105
CFAP206	cilia and flagella associated protein 206		154313
CFAP20DC	CFAP20 domain containing		200844
CFAP221	cilia and flagella associated protein 221		200373
CFAP298	cilia and flagella associated protein 298		56683
CFAP299	cilia and flagella associated protein 299		255119
CFAP300	cilia and flagella associated protein 300		85016
CFAP36	cilia and flagella associated protein 36		112942
CFAP410	cilia and flagella associated protein 410		755
CFAP43	cilia and flagella associated protein 43		80217
CFAP44	cilia and flagella associated protein 44		55779
CFAP45	cilia and flagella associated protein 45		25790
CFAP46	cilia and flagella associated protein 46		54777
CFAP47	cilia and flagella associated protein 47		286464
CFAP52	cilia and flagella associated protein 52		146845
CFAP53	cilia and flagella associated protein 53		220136
CFAP54	cilia and flagella associated protein 54		144535
CFAP57	cilia and flagella associated protein 57		149465
CFAP58	cilia and flagella associated protein 58		159686
CFAP61	cilia and flagella associated protein 61		26074
CFAP65	cilia and flagella associated protein 65		255101
CFAP69	cilia and flagella associated protein 69		79846
CFAP70	cilia and flagella associated protein 70		118491
CFAP73	cilia and flagella associated protein 73		387885
CFAP74	cilia and flagella associated protein 74		85452
CFAP77	cilia and flagella associated protein 77		389799
CFAP97	cilia and flagella associated protein 97		57587
CFAP97D1	CFAP97 domain containing 1		284067
CFAP97D2	CFAP97 domain containing 2		101929355
CFAP99	cilia and flagella associated protein 99		402160
CFB	complement factor B		629
CFBW1	cystic fibrosis body weight 1		100034823
CFBW2	cystic fibrosis body weight 2		493040
CFBW3	cystic fibrosis body weight 3		493041
CFBW4	cystic fibrosis body weight 4		100035744
CFBW5	cystic fibrosis body weight 5		493042
CFC1	"cripto, FRL-1, cryptic family 1"		55997
CFCD	contextual fear conditioning		100035755
CFD	complement factor D		1675
CFDP1	craniofacial development protein 1		10428
CFH	complement factor H		3075
CFHE	"complement component factor h, electrophoretic variant"		108036
CFHR1	complement factor H related 1		3078
CFHR2	complement factor H related 2		3080
CFHR3	complement factor H related 3		10878
CFI	complement factor I		3426
CFID	cystic fibrosis intestinal distress		100036221
CFL1	cofilin 1		1072
CFL2	cofilin 2		1073
CFLAR	CASP8 and FADD like apoptosis regulator		8837
CFLD1	cystic fibrosis lung disease 1		100034824
CFLD2	cystic fibrosis lung disease 2		493043
CFLD3	cystic fibrosis lung disease 3		493044
CFLD4	cystic fibrosis lung disease 4		100035541
CFM1	cystic fibrosis modifier 1		10167
CFMQ1	cystic fibrosis modifier QTL 1		100035238
CFMQ2	cystic fibrosis modifier QTL 2		100036333
CFMQ3	cystic fibrosis modifier QTL 3		100035923
CFP	complement factor properdin		5199
CFP1	cerebellar folial pattern 1		104320
CFP2	cerebellar folial pattern 2		104439
CFP3	cerebellar folial pattern 3		104438
CFSW1	cystic fibrosis survival to weaning 1		100035757
CFSW2	cystic fibrosis survival to weaning 2		100034854
CFSW3	cystic fibrosis survival to weaning 3		100036058
CFTR	CF transmembrane conductance regulator		1080
CGA	"glycoprotein hormones, alpha polypeptide"		1081
CGAS	cyclic GMP-AMP synthase		115004
CGB3	chorionic gonadotropin subunit beta 3		1082
CGCT	congenital cataract		104146
CGGBP1	CGG triplet repeat binding protein 1		8545
CGN	cingulin		57530
CGNL1	cingulin like 1		84952
CGNZ1	chronic glomerulonephritis in NZM 1		117012
CGREF1	cell growth regulator with EF-hand domain 1		10669
CGRRF1	cell growth regulator with ring finger domain 1		10668
CH25H	cholesterol 25-hydroxylase		9023
CHAB1	cholesterol absorption 1		171032
CHAB2	cholesterol absorption 2		171036
CHAB3	cholesterol absorption 3		171033
CHAB4	cholesterol absorption 4		171037
CHAB5	cholesterol absorption 5		171038
CHAB6	cholesterol absorption 6		171034
CHAB7	cholesterol absorption 7		171035
CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1		79094
CHAC2	ChaC glutathione specific gamma-glutamylcyclotransferase 2		494143
CHAD	chondroadherin		1101
CHADL	chondroadherin like		150356
CHAER1	cardiac hypertrophy associated epigenetic regulator 1		105377667
CHAF1A	chromatin assembly factor 1 subunit A		10036
CHAF1B	chromatin assembly factor 1 subunit B		8208
CHAMP1	chromosome alignment maintaining phosphoprotein 1		283489
CHAR1	P. chabaudi malaria resistance QTL 1		112313
CHAR2	P. chabaudi malaria resistance QTL 2		112314
CHAR2A	P. chabaudi malaria resistance QTL 2a		100036393
CHAR2B	P. chabaudi malaria resistance QTL 2b		100035705
CHAR3	P. chabaudi malaria resistance QTL 3		117578
CHAR4	P. chabaudi malaria resistance QTL 4		116906
CHAR5	P. chabaudi malaria resistance QTL 5		493122
CHAR6	P. chabaudi malaria resistance QTL 6		493123
CHAR7	P. chabaudi malaria resistance QTL 7		100034930
CHAR8	P. chabaudi malaria resistance QTL 8		100035820
CHAR9	P. chabaudi malaria resistance QTL 9		100101431
CHAT	choline O-acetyltransferase		1103
CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1		118487
CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10		400916
CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2		51142
CHCHD2-PS	"coiled-coil-helix-coiled-coil-helix domain containing 2, pseudogene"		433806
CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3		54927
CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4		131474
CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5		84269
CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6		84303
CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7		79145
CHCHD8	coiled-coil-helix-coiled-coil-helix domain containing 8		100402035
CHCMQ1	mean cell hemoglobin concentration QTL 1		100035299
CHCMQ2	mean cell hemoglobin concentration QTL 2		100036167
CHD1	chromodomain helicase DNA binding protein 1		1105
CHD1L	chromodomain helicase DNA binding protein 1 like		9557
CHD2	chromodomain helicase DNA binding protein 2		1106
CHD3	chromodomain helicase DNA binding protein 3		1107
CHD4	chromodomain helicase DNA binding protein 4		1108
CHD5	chromodomain helicase DNA binding protein 5		26038
CHD6	chromodomain helicase DNA binding protein 6		84181
CHD7	chromodomain helicase DNA binding protein 7		55636
CHD8	chromodomain helicase DNA binding protein 8		57680
CHD9	chromodomain helicase DNA binding protein 9		80205
CHDH	choline dehydrogenase		55349
CHEK1	checkpoint kinase 1		1111
CHEK2	checkpoint kinase 2		11200
CHERP	calcium homeostasis endoplasmic reticulum protein		10523
CHES1	checkpoint suppressor 1		555843
CHFR	checkpoint with forkhead and ring finger domains		55743
CHGA	chromogranin A		1113
CHGB	chromogranin B		1114
CHI3L1	chitinase 3 like 1		1116
CHI3L3	chitinase 3-like 3		295351
CHI3L4	chitinase 3-like 4		310771
CHIA	chitinase acidic		27159
CHIA1	"chitinase, acidic 1"		81600
CHIC1	cysteine rich hydrophobic domain 1		53344
CHIC2	cysteine rich hydrophobic domain 2		26511
CHID1	chitinase domain containing 1		66005
CHIL1	chitinase-like 1		12654
CHIL3	chitinase-like 3		12655
CHIL4	chitinase-like 4		104183
CHIL5	chitinase-like 5		229687
CHIL6	chitinase-like 6		229688
CHIT1	chitinase 1		1118
CHKA	choline kinase alpha		1119
CHKB	choline kinase beta		1120
CHL1	cell adhesion molecule L1 like		10752
CHLDQ1	cholesterol and HDL QTL 1		100035510
CHLDQ2	cholesterol and HDL QTL 2		100035511
CHLDQ3	cholesterol and HDL QTL 3		100035513
CHLDQ4	cholesterol and HDL QTL 4		100036194
CHLDQ5	cholesterol and HDL QTL 5		100035515
CHLDQ6	cholesterol and HDL QTL 6		100125296
CHLDQ7	cholesterol and HDL QTL 7		100125290
CHLDQ8	cholesterol and HDL QTL 8		100125291
CHLDQ9	cholesterol and HDL QTL 9		100125292
CHLQ1	circulating hormone level QTL 1		100035275
CHLQ10	circulating hormone level QTL 10		100035408
CHLQ11	circulating hormone level QTL 11		100036124
CHLQ12	circulating hormone level QTL 12		100035994
CHLQ13	circulating hormone level QTL 13		100035409
CHLQ14	circulating hormone level QTL 14		100036378
CHLQ15	circulating hormone level QTL 15		100035410
CHLQ16	circulating hormone level QTL 16		100035995
CHLQ17	circulating hormone level QTL 17		100035694
CHLQ18	circulating hormone level QTL 18		100035411
CHLQ2	circulating hormone level QTL 2		100036344
CHLQ3	circulating hormone level QTL 3		100035276
CHLQ4	circulating hormone level QTL 4		100035660
CHLQ5	circulating hormone level QTL 5		100036107
CHLQ6	circulating hormone level QTL 6		100035939
CHLQ7	circulating hormone level QTL 7		100035277
CHLQ8	circulating hormone level QTL 8		100035278
CHLQ9	circulating hormone level QTL 9		100036503
CHM	CHM Rab escort protein		1121
CHML	CHM like Rab escort protein		1122
CHMP1A	charged multivesicular body protein 1A		5119
CHMP1B	charged multivesicular body protein 1B		57132
CHMP2A	charged multivesicular body protein 2A		27243
CHMP2B	charged multivesicular body protein 2B		25978
CHMP3	charged multivesicular body protein 3		51652
CHMP4B	charged multivesicular body protein 4B		128866
CHMP4C	charged multivesicular body protein 4C		92421
CHMP5	charged multivesicular body protein 5		51510
CHMP6	charged multivesicular body protein 6		79643
CHMP7	charged multivesicular body protein 7		91782
CHN1	chimerin 1		1123
CHN1OS3	"chimerin 1, opposite strand 3"		329427
CHN2	chimerin 2		1124
CHODL	chondrolectin		140578
CHOL1	cholesterol 1		109649
CHOL10	cholesterol 10		493094
CHOL11	cholesterol 11		493095
CHOL2	cholesterol 2		109644
CHOL6	cholesterol 6		100034797
CHOL7	cholesterol 7		492951
CHOL8	cholesterol 8		100034798
CHOL9	cholesterol 9		100034799
CHORDC1	cysteine and histidine rich domain containing 1		26973
CHP	chaoptin		43690
CHP1	calcineurin like EF-hand protein 1		11261
CHP2	calcineurin like EF-hand protein 2		63928
CHPF	chondroitin polymerizing factor		79586
CHPF2	chondroitin polymerizing factor 2		54480
CHPT1	choline phosphotransferase 1		56994
CHRAC1	chromatin accessibility complex subunit 1		54108
CHRD	chordin		8646
CHRDL1	chordin like 1		91851
CHRDL2	chordin like 2		25884
CHRF	cardiac hypertrophy related factor		105463121
CHRM1	cholinergic receptor muscarinic 1		1128
CHRM2	cholinergic receptor muscarinic 2		1129
CHRM3	cholinergic receptor muscarinic 3		1131
CHRM4	cholinergic receptor muscarinic 4		1132
CHRM5	cholinergic receptor muscarinic 5		1133
CHRNA1	cholinergic receptor nicotinic alpha 1 subunit		1134
CHRNA10	cholinergic receptor nicotinic alpha 10 subunit		57053
CHRNA1OS	"cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle), opposite strand"		102633437
CHRNA2	cholinergic receptor nicotinic alpha 2 subunit		1135
CHRNA3	cholinergic receptor nicotinic alpha 3 subunit		1136
CHRNA4	cholinergic receptor nicotinic alpha 4 subunit		1137
CHRNA5	cholinergic receptor nicotinic alpha 5 subunit		1138
CHRNA6	cholinergic receptor nicotinic alpha 6 subunit		8973
CHRNA7	cholinergic receptor nicotinic alpha 7 subunit		1139
CHRNA9	cholinergic receptor nicotinic alpha 9 subunit		55584
CHRNB1	cholinergic receptor nicotinic beta 1 subunit		1140
CHRNB2	cholinergic receptor nicotinic beta 2 subunit		1141
CHRNB3	cholinergic receptor nicotinic beta 3 subunit		1142
CHRNB4	cholinergic receptor nicotinic beta 4 subunit		1143
CHRND	cholinergic receptor nicotinic delta subunit		1144
CHRNE	cholinergic receptor nicotinic epsilon subunit		1145
CHRNG	cholinergic receptor nicotinic gamma subunit		1146
CHST1	carbohydrate sulfotransferase 1		8534
CHST10	carbohydrate sulfotransferase 10		9486
CHST11	carbohydrate sulfotransferase 11		50515
CHST12	carbohydrate sulfotransferase 12		55501
CHST13	carbohydrate sulfotransferase 13		166012
CHST14	carbohydrate sulfotransferase 14		113189
CHST15	carbohydrate sulfotransferase 15		51363
CHST2	carbohydrate sulfotransferase 2		9435
CHST3	carbohydrate sulfotransferase 3		9469
CHST4	carbohydrate sulfotransferase 4		10164
CHST5	carbohydrate sulfotransferase 5		23563
CHST7	carbohydrate sulfotransferase 7		56548
CHST8	carbohydrate sulfotransferase 8		64377
CHST9	carbohydrate sulfotransferase 9		83539
CHSY1	chondroitin sulfate synthase 1		22856
CHSY3	chondroitin sulfate synthase 3		337876
CHTF18	chromosome transmission fidelity factor 18		63922
CHTF8	chromosome transmission fidelity factor 8		54921
CHTOP	chromatin target of PRMT1		26097
CHUK	component of inhibitor of nuclear factor kappa B kinase complex		1147
CHUK-RS1	"conserved helix-loop-helix ubiquitous kinase, related sequence 1"		110909
CHURC1	churchill domain containing 1		91612
CI	circler		12679
CIA1	collagen induced arthritis QTL 1		109455
CIA10	collagen induced arthritis QTL 10		114158
CIA12	collagen induced arthritis QTL 12		100034807
CIA13	collagen induced arthritis QTL 13		100034808
CIA14	collagen induced arthritis QTL 14		100036208
CIA15	collagen induced arthritis QTL 15		493045
CIA16	collagen induced arthritis QTL 16		100034809
CIA17	collagen induced arthritis QTL 17		100035538
CIA18	collagen induced arthritis QTL 18		100035738
CIA19	collagen induced arthritis QTL 19		100034810
CIA2	collagen induced arthritis QTL 2		112252
CIA20	collagen induced arthritis QTL 20		493046
CIA26	collagen induced arthritis QTL 26		100036428
CIA27	collagen induced arthritis QTL 27		100035776
CIA28	collagen induced arthritis QTL 28		100035559
CIA29	collagen induced arthritis QTL 29		100036236
CIA3	collagen induced arthritis QTL 3		112253
CIA30	collagen induced arthritis QTL 30		100034914
CIA31	collagen induced arthritis QTL 31		100034915
CIA32	collagen induced arthritis QTL 32		100035782
CIA34	collagen induced arthritis QTL 34		100101432
CIA35	collagen induced arthritis QTL 35		100101428
CIA36	collagen induced arthritis QTL 36		100101435
CIA37	collagen induced arthritis QTL 37		100101429
CIA38	collagen induced arthritis QTL 38		100101434
CIA4	collagen induced arthritis QTL 4		112254
CIA40	collagen induced arthritis QTL 40		100035176
CIA41	collagen induced arthritis QTL 41		100101430
CIA42	collagen induced arthritis QTL 42		100101433
CIA5	collagen induced arthritis QTL 5		114608
CIA5B	collagen induced arthritis QTL 5b		100036235
CIA5C	collagen induced arthritis QTL 5c		100034897
CIA6	collagen induced arthritis QTL 6		109452
CIA7	collagen induced arthritis QTL 7		112255
CIA8	collagen induced arthritis QTL 8		112265
CIA9	collagen induced arthritis QTL 9		114651
CIAAQ1	collagen induced arthritis autoantibody QTL 1		100113371
CIAO1	cytosolic iron-sulfur assembly component 1		9391
CIAO2A	cytosolic iron-sulfur assembly component 2A		84191
CIAO2B	cytosolic iron-sulfur assembly component 2B		51647
CIAO3	cytosolic iron-sulfur assembly component 3		64428
CIAPIN1	cytokine induced apoptosis inhibitor 1		57019
CIART	circadian associated repressor of transcription		148523
CIB1	calcium and integrin binding 1		10519
CIB2	calcium and integrin binding family member 2		10518
CIB3	calcium and integrin binding family member 3		117286
CIB4	calcium and integrin binding family member 4		130106
CIBAR1	CBY1 interacting BAR domain containing 1		137392
CIBAR2	CBY1 interacting BAR domain containing 2		339145
CIC	capicua transcriptional repressor		23152
CIDEA	cell death inducing DFFA like effector a		1149
CIDEB	cell death inducing DFFA like effector b		27141
CIDEC	cell death inducing DFFA like effector c		63924
CIGS1	conserved intergenic sequence 1		64821
CIGS2	conserved intergenic sequence 2		64938
CIITA	class II major histocompatibility complex transactivator		4261
CILK1	ciliogenesis associated kinase 1		22858
CILP	cartilage intermediate layer protein		8483
CILP2	cartilage intermediate layer protein 2		148113
CINDA1	cytokine induced activation 1		107438
